Name;Description;Price;Quantity;Category;Manufacturer
MacBook Pro;Мощный ноутбук для профессионалов. Процессор Intel Core i5, 8 ГБ ОЗУ, 256 ГБ SSD, 13.3-дюймовый дисплей Retina;119920;17;Ноутбук;Apple
MacBook Air;Легкий и компактный ноутбук с быстрым SSD-накопителем и Retina-дисплеем;99990;23;Ноутбук;Apple
iPhone 12 Pro;Мощный смартфон с тройной камерой, OLED-дисплеем и 5G-связью;99890;45;Смартфон;Apple
iPad Pro;Мощный планшет с экраном Liquid Retina и процессором A12Z Bionic;89990;31;Планшет;Apple
Apple Watch Series 6;Умные часы с измерением уровня кислорода в крови и функцией ECG;34990;17;Умные часы;Apple
iMac;Компьютер с 21.5-дюймовым дисплеем Retina 4K, процессором Intel Core i5 и быстрым SSD-накопителем;119990;12;Компьютер;Apple
AirPods Pro;True Wireless наушники с функцией шумоподавления и режимом Transparency;21990;56;Наушники;Apple
Mac Mini;Компьютер в компактном корпусе с процессором Intel Core i5 и 256 ГБ SSD-накопителем;69990;7;Компьютер;Apple
HomePod mini;Компактный умный динамик с поддержкой голосового помощника Siri и Hi-Fi звучанием;9990;34;Динамик;Apple
Magic Mouse 2;Беспроводная мышь с встроенной аккумуляторной батареей;6290;46;Мышь;Apple
Magic Keyboard;Беспроводная клавиатура со встроенной аккумуляторной батареей;9990;22;Клавиатура;Apple
AirTag;Умный трекер для поиска утраченных вещей;3990;3;Трекер;Apple
Apple TV 4K;Медиаплеер для стриминга видео в 4K HDR и поддержкой Dolby Atmos;16990;18;Медиаплеер;Apple
Smart Battery Case;Чехол-аккумулятор для смартфона iPhone, увеличивающий время работы до 50% от изначального;11990;11;Чехол;Apple
AirPods Max;Наушники с функцией шумоподавления и Hi-Fi звучанием;59990;6;Наушники;Apple
Samsung Galaxy S21 Ultra;Мощный флагманский смартфон с четырьмя камерами и 5G-связью;99990;25;Смартфон;Samsung
Galaxy Tab S7+;Мощный планшет с 12.4-дюймовым Super AMOLED-дисплеем и стилусом S Pen в комплекте;79990;14;Планшет;Samsung
Samsung Odyssey G7;Игровой монитор с изогнутым экраном, технологией QLED и частотой обновления 240 Гц;92990;9;Монитор;Samsung
Galaxy Watch3;Умные часы с функцией измерения кислорода в крови и возможностью отвечать на звонки;33990;41;Умные часы;Samsung
Samsung Portable SSD T7 Touch;Внешний SSD-накопитель с защитой паролем и сканером отпечатков пальцев;9990;7;SSD-накопитель;Samsung
Galaxy Buds Pro;True Wireless наушники с активной шумоподавлением и 360-градусным звуком;19990;23;Наушники;Samsung
Samsung Galaxy Book S;Сверхлегкий ультрабук с процессором Snapdragon 8cx и длительным временем работы от аккумулятора;87990;5;Ноутбук;Samsung
Samsung Q950TS;Флагманский 8K QLED-телевизор с голосовым помощником и функцией Ambient Mode;499990;3;Телевизор;Samsung
Samsung Galaxy A52;Стильный смартфон с четырьмя камерами и AMOLED-дисплеем;29990;38;Смартфон;Samsung
Galaxy Watch Active2;Умные часы с функцией мониторинга здоровья и поддержкой бесконтактных платежей;21990;32;Умные часы;Samsung
Samsung T5;Внешний SSD-накопитель с быстрой скоростью передачи данных и компактным корпусом;9190;14;SSD-накопитель;Samsung
Samsung Galaxy Buds Live;True Wireless наушники с уникальным дизайном и динамиками AKG;13990;27;Наушники;Samsung
Samsung Galaxy Book Ion;Ноутбук с процессором Intel Core i7, NVIDIA MX250 и сумеречной клавиатурой;128990;8;Ноутбук;Samsung
Samsung C49RG90;Игровой монитор с кривым экраном, разрешением Dual QHD и частотой обновления 120 Гц;99990;11;Монитор;Samsung
Samsung HW-Q800T;Саундбар с технологией Adaptive Sound и поддержкой Dolby Atmos/DTS:X;74990;5;Акустическая система;Samsung
Sony PlayStation 5;Игровая консоль нового поколения с процессором AMD Zen 2 и поддержкой 8K-разрешения;49990;6;Игровая консоль;Sony
Sony WH-1000XM4;Беспроводные наушники с высоким качеством звука, NC-шумоподавлением и автономностью до 30 часов;29990;21;Наушники;Sony
Sony Alpha a7 III;Фотокамера со съемкой в разрешении 4K и возможностью снимать до 10 кадров в секунду;134990;7;Фотоаппарат;Sony
Sony WF-1000XM4;True Wireless наушники с технологией NC-шумоподавления и Hi-Res Audio;24990;12;Наушники;Sony
Sony BRAVIA X900H;Телевизор 4K HDR с технологией Acoustic Multi-Audio и операционной системой Android TV;99990;8;Телевизор;Sony
Sony WH-CH710N;Беспроводные наушники с NC-шумоподавлением и автономностью до 35 часов;15990;32;Наушники;Sony
Sony SRS-XB33;Беспроводной портативный динамик с мощным звучанием и водонепроницаемым корпусом;12990;18;Динамик;Sony
Sony Xperia 1 III;Смартфон с камерой 12 МП и изображением в разрешении 4K на экране 6,5 дюймов;99990;5;Смартфон;Sony
Sony FE 70-200mm f/2.8 GM OSS;Объектив с постоянным фокусным расстоянием и светосилой f/2.8 для фотокамер Sony α;169990;3;Объектив;Sony
Sony WF-SP800N;Беспроводные наушники с NC-шумоподавлением и защитой от воды и пыли;13990;14;Наушники;Sony
Sony WH-XB900N;Беспроводные наушники с технологией NC-шумоподавления и функцией EXTRA BASS;19990;9;Наушники;Sony
Sony A8H;Телевизор OLED 4K HDR с технологией Acoustic Surface Audio и операционной системой Android TV;169990;4;Телевизор;Sony
Sony HT-G700;Саундбар с технологией Virtual Surround Sound и поддержкой форматов Dolby Atmos и DTS:X;34990;7;Акустическая система;Sony
Sony WH-H910N;Беспроводные наушники с NC-шумоподавлением и поддержкой Hi-Res Audio;22990;17;Наушники;Sony
Sony HT-Z9F;Саундбар с технологией 3D Surround Sound и поддержкой форматов Dolby Atmos и DTS:X;62990;6;Акустическая система;Sony
